"מסך","מזהה (לא לערוך)","חלק","ניסוח נוכחי","ניסוח מתוקן"
"כללי משימות","t-8c","טקסט","בנוסף לתבניות החוזרות, אפשר להגדיר <strong>משימות חד-פעמיות</strong> — אירועים חריגים ביום ובשעה ספציפיים, שאינם חוזרים (למשל סיור קבוצתי, אירוח, או משמרת מילואים). לכל משימה כזו אותן אבני-בניין כמו לתבנית: משבצות, תת-צוותים, חלונות עומס מוגבר, והשלמות שינה. הן נשמרות כחלק מסט המשימות ויופיעו בשבצ""ק הבא שייווצר.",""
"כללי משימות","t-9","כותרת","מוכנות לשיבוץ",""
"כללי משימות","t-9","טקסט","תג זה מסכם את הבדיקה המקדימה הכוללת — <strong>קריטי</strong> אדום / <strong>אזהרה</strong> כתום / <strong>בסדר</strong> ירוק. לחיצה על התג פותחת רשימה מפורטת של כל הממצאים.<br><br><strong>ממצאים קריטיים (חוסמים יצירת שבצ""ק):</strong><br>• <strong>פער כישורים</strong> — אין מספיק משתתפים ברמה/הסמכה הנדרשות לאיוש כל המשבצות של תבנית. פתרון: הוסף משתתפים, הרחב רמות מותרות, או הסר משבצת.<br>• <strong>פער ביום ספציפי</strong> — כוח אדם כולל מספיק, אך ביום או שעה ספציפיים אין מי שכשיר וזמין יחד — לרוב בגלל אי-זמינות מרוכזת.<br>• <strong>חריגת קיבולת</strong> — סך השעות הנדרשות מהצוות גדול מסך הזמינות (מעל 100% ניצול).<br><br><strong>אזהרות (יצירה אפשרית, מומלץ לבדוק):</strong><br>• <strong>נדירות כשירות</strong> — משבצת עם מועמד יחיד, צפיפות 90–100%, או פער רוטציה במשימת ""קבוצה אחידה"".<br><br>בנוסף, כל כרטיסיית תבנית מציגה תג <strong>!</strong> או <strong>⚠</strong> ספציפי לתבנית עצמה — לחיצה עליו פותחת רשימה ממוקדת לאותה תבנית.",""
"כללי משימות","t-10","כותרת","סטים של משימות",""
"כללי משימות","t-10","טקסט","בדומה למערכי משתתפים: שמור גרסאות מלאות של כללי המשימות (תבניות + משימות חד-פעמיות + כללי מרווח) ועבור ביניהן. שימושי לשמירת תצורות שונות לפי תקופה או צורך. <strong>שים לב</strong>: טעינת סט מחליפה את שלושת הרכיבים ביחד. תג ""שונה"" מסמן שערכת את הסט הפעיל ולא שמרת.",""
"שבצ""ק","s-1","כותרת","יצירת שבצ""ק",""
"שבצ""ק","s-1","טקסט","שדה ""ימים"" קובע את אורך התקופה (1–7 ימים). כפתור <strong>⚡ צור שבצ""ק</strong> מפעיל את האופטימייזר. כשמשנים נתונים לאחר היצירה תופיע ההודעה ""⚠ השיבוץ לא מעודכן"" — יצירה מחדש מרעננת את התוצאה.",""
"שבצ""ק","s-2","כותרת","ניסיונות אופטימיזציה",""
"שבצ""ק","s-2","טקסט","כל ניסיון מפעיל מחזור שלם של בנייה ושיפור. ברירת המחדל (60 ניסיונות) מתאימה לצוות גדול; לצוות עד 20 משתתפים, 10–20 ניסיונות מספיקים ומסיימים תוך שניות. במהלך הריצה תופיע שכבת אופטימיזציה עם התקדמות, וכפתור <strong>לשבצ""ק (סיים עכשיו)</strong> לקבלת התוצאה הטובה ביותר עד כה.",""
"שבצ""ק","s-3","כותרת","לוח מדדים",""
"שבצ""ק","s-3","טקסט","✓ ""ישים"" — כל התנאים המחייבים עברו. ✗ ""לא ישים"" — יש הפרה שחובה לתקן. הציון הנומרי (נמוך = מאוזן יותר) מסכם קנסות מתנאים רכים. לחץ על תא האזהרות הכתום לקפיצה ישירה לחלונית ההפרות.",""
"שבצ""ק","s-4","כותרת","ניווט בין ימים",""
"שבצ""ק","s-4","טקסט","כל כפתור = יום תפעולי. תג <strong>!</strong> אדום על יום מציין שיש בו הפרות שדורשות תיקון. <strong>יום 0</strong>, אם מופיע, מציג שיבוצים מהשבצ""ק הקודם — לקריאה בלבד. במצב חי בלבד: <strong>🧊</strong> = יום שעבר וחסום לעריכה; <strong>⏳</strong> = היום הנוכחי (חסום עד שעת העוגן).",""
"שבצ""ק","s-5","כותרת","טבלת השיבוץ",""
"שבצ""ק","s-5","טקסט","כל שורה = פרק זמן; כל תא = משתתף משובץ או ריק. לחיצה על שם משתתף פותחת את הכרטיס האישי שלו, ולחיצה על תג משימה פותחת את לוח המשימה. מתחת לטבלה תמצא שתי תצוגות חלופיות (רצועות וגאנט) — נדבר עליהן בשלב הבא.",""
"שבצ""ק","s-5b","כותרת","תצוגות חלופיות — רצועות וגאנט",""
"שבצ""ק","s-5b","טקסט","מתחת לטבלת השיבוץ הרגילה יש שתי תצוגות נוספות, שתיהן ניתנות לקיפול:<br><br>• <strong>רצועות (Swimlane)</strong> — שורה לכל משתתף, עם פסים צבעוניים של משימות לאורך ציר זמן. שימושית לראות ""מי עובד מתי"" ולזהות פערים ארוכים בין משמרות. במצב חי מוצג סמן <strong>""עכשיו""</strong> אדום.<br>• <strong>גאנט</strong> — תצוגה דומה הממוקדת בסדר כרונולוגי, עם אנוטציות לחציית חצות (◄/►) שמראות שמשמרת ממשיכה ליום הבא.<br><br>במובייל, תצוגת הרצועות מחליפה את הגאנט. לחיצה על שם משתתף בכל אחת מהן פותחת את הכרטיס האישי שלו.",""
"שבצ""ק","s-6","כותרת","סרגל עומס עבודה",""
"שבצ""ק","s-6","טקסט","מציג שעות אפקטיביות לכל משתתף — מתחילים (L0) ובכירים מוצגים בנפרד (החלק הסגלי 👤 מוסתר כברירת מחדל; הפעל אותו ע""י המתג בראש הסרגל). הפס הכהה = העומס שנצבר עד היום הנוכחי. <strong>לחץ על שם</strong> לפתיחת הכרטיס האישי. <strong>לחץ על הפס</strong> לפתיחת חלון פיזור יומי — סרגל מיני לכל יום + סימון פיק/היום.",""
"שבצ""ק","s-7","כותרת","אזהרות והפרות",""
"שבצ""ק","s-7","טקסט","<strong>אילוצים קשים (HC)</strong> — שבצ""ק אינו ישים; חובה לתקן. <strong>אילוצים רכים (SC)</strong> — קנסות שמורידים את הציון אך השבצ""ק עדיין תקף. ניתן לקפל ולפתוח כל קטגוריה; הפרות מסודרות לפי יום.",""
"שבצ""ק","s-7","טקסט (מובייל)","<strong>HC</strong> — אילוצים קשים; השבצ""ק לא ישים עד תיקון. <strong>SC</strong> — אילוצים רכים; קנס בציון, אך השבצ""ק תקף. גלילה מטה מציגה את הקטגוריות והפרות לפי יום.",""
"שבצ""ק","s-8","כותרת","החלפה ידנית — חלק 1",""
"שבצ""ק","s-8","טקסט","הקשה (או ריחוף בעכבר) על שם משתתף בתא חושפת טולטיפ עם פעולות מהירות. <em>המדריך הציג עכשיו את הטולטיפ עבורך</em> — בשלב הבא נסביר את הכפתור הנכון.",""
"שבצ""ק","s-8","טקסט (מובייל)","במגע, הקשה על שם משובץ בטבלה פותחת <strong>גיליון תחתון</strong> עם פרטי המשתתף — דרגה, קבוצה, הסמכות, פק""לים ופילוח עומס — ובתחתיתו כפתורי פעולה מהירה <strong>⇄ החלפה</strong> ו-<strong>🆘 חילוץ</strong> (חילוץ — במצב חי בלבד). <em>פתח את הגיליון על שם כלשהו</em>; בשלב הבא נסביר את כפתור ההחלפה.",""
"שבצ""ק","s-8-action","כותרת","החלפה ידנית — חלק 2",""
"שבצ""ק","s-8-action","טקסט","הכפתור <strong>⇄ החלפה</strong> פותח את בורר ההחלפות. מצב <strong>חופשי</strong> — בחר ממלא חדש למשבצת. מצב <strong>החלפה</strong> — שני משתתפים מחליפים מקום זה עם זה. סינונים: חיפוש, צ'יפים של קבוצה/רמה, מיון לפי עומס. אם אין כשירים — <strong>מצב אבחון</strong> מציג את כל המועמדים שנפסלו ואת סיבת הפסילה.<br><br>התצוגה המקדימה כוללת שני מקטעים חשובים: <strong>(1) עומס לפני/אחרי</strong> לכל משתתף מושפע — עלייה באדום, ירידה בירוק. <strong>(2) שינויים באזהרות רכות</strong> — אזהרות חדשות לצד אזהרות שיבוטלו. עיין בשניהם לפני אישור.<br><br>תיבת <strong>""סמן ___ כלא-זמין""</strong> רושמת את המוחלף כלא-זמין לחלון המשבצת; כשהיא מסומנת מופיע שדה אופציונלי ל<strong>סיבה</strong> שיישמר בכרטיס המשתתף.",""
"שבצ""ק","s-8-action","טקסט (מובייל)","בתוך הגיליון, <strong>⇄ החלפה</strong> פותח את בורר ההחלפות. מצב <strong>חופשי</strong> — בחר ממלא חדש למשבצת; מצב <strong>החלפה</strong> — שני משתתפים מחליפים מקום. סינון: חיפוש, צ'יפים של קבוצה/רמה, ומיון לפי עומס; אם אין כשירים — <strong>מצב אבחון</strong> מציג מי נפסל ולמה. לפני אישור בדוק את <strong>העומס לפני/אחרי</strong> (עלייה באדום, ירידה בירוק) ואת <strong>השינויים באזהרות הרכות</strong>. תיבת <strong>""סמן כלא-זמין""</strong> רושמת את המוחלף כלא-זמין לחלון המשבצת, עם שדה <strong>סיבה</strong> אופציונלי.",""
"שבצ""ק","s-8b","כותרת","ביטול ושחזור",""
"שבצ""ק","s-8b","טקסט","כפתורי ↪ <strong>ביטול</strong> ו-↩ <strong>שחזור</strong> בסרגל הכותרת עוקבים אחר כל ההחלפות הידניות, החילוצים, וההזרקות שביצעת. המספר בסוגריים מציג כמה פעולות שמורות בהיסטוריה. ↪ <strong>ביטול</strong> מחזיר את השבצ""ק למצבו לפני הפעולה האחרונה — <em>כולל</em> כניסות אי-זמינות שנרשמו יחד איתה. ↩ <strong>שחזור</strong> מחזיר את מה שבוטל. הסטאק אינו נשמר בין גרסאות שמורות — אם אתה עומד לנסות שינוי גדול, שמור גרסה תחילה כנקודת חזרה.",""
"שבצ""ק","s-8c","כותרת","ריחוף וקיצורי דרך",""
"שבצ""ק","s-8c","טקסט","ריחוף עם העכבר חושף קיצורי דרך נסתרים שיחסכו לך הרבה ניווט:<br><br>• <strong>שם משתתף</strong> בגריד / ברצועות / בסרגל הצד → טולטיפ עם רמה, קבוצה, הסמכות, פק""לים, ופילוח עומס. כשמרחפים על תא שיבוץ ספציפי, מופיעים בתוך הטולטיפ כפתורים <strong>⇄ החלפה</strong> ו-<strong>🆘 חילוץ</strong> (חילוץ — במצב חי בלבד) — שינוי משמרת בלי לפתוח שום בורר ידנית.<br>• <strong>תג משימה</strong> בגריד / בגאנט → טולטיפ עם פרטי המשמרת, רשימת המשובצים, וכפתור <strong>📋 פתח חלונית משימה</strong> לניווט מהיר.<br><br>במגע: לחיצה ארוכה (חצי שנייה) על שם משתתף מנווטת ישירות לכרטיס האישי; הקשה רגילה פותחת גיליון תחתון עם אותו תוכן.",""
"שבצ""ק","s-8c","כותרת (מובייל)","קיצורי דרך במגע",""
"שבצ""ק","s-8c","טקסט (מובייל)","במגע יש שני קיצורים מהירים על שם משתתף:<br><br>• <strong>הקשה רגילה</strong> פותחת גיליון תחתון עם הטולטיפ — דרגה, קבוצה, הסמכות, פק""לים, פילוח עומס, וכפתורי <strong>⇄ החלפה</strong> ו-<strong>🆘 חילוץ</strong> (במצב חי).<br>• <strong>לחיצה ארוכה</strong> (חצי שנייה) מדלגת על הגיליון ומנווטת ישר לכרטיס האישי של המשתתף.<br><br>הקשה על תג משימה פותחת גיליון מקביל עם פרטי המשמרת וקיצור ל-<strong>📋 חלונית משימה</strong>.",""
"שבצ""ק","s-9","כותרת","מצב חי",""
"שבצ""ק","s-9","טקסט","מצב חי מקבע עוגן (יום + שעה). שיבוצים <strong>לפני</strong> העוגן — קפואים ולא ניתנים לעריכה. שיבוצים <strong>אחריו</strong> — ניתנים לעריכה, חילוץ, והזרקת משימות חירום. שימושי בניהול שבצ""ק בזמן אמת. <em>(בהדגמה זו מצב חי מופעל מראש עם עוגן בצהריים של יום 1.)</em>",""
"שבצ""ק","s-10","כותרת","חילוץ — מילוי משבצת ריקה",""
